"filename", "language", "JSON", "SCSS", "HTML", "TypeScript", "Markdown", "YAML", "comment", "blank", "total"
"k:\AiChat\tavern_helper_template\changlog.md", "Markdown", 0, 0, 0, 0, 29, 0, 0, 19, 48
"k:\AiChat\tavern_helper_template\dist\src\什么我要在玄幻修仙世界种田-0楼版本\index.html", "HTML", 0, 0, 2807, 0, 0, 0, 92, 60, 2959
"k:\AiChat\tavern_helper_template\dist\src\什么我要在玄幻修仙世界种田-第一条消息\FirstMes.html", "HTML", 0, 0, 661, 0, 0, 0, 39, 56, 756
"k:\AiChat\tavern_helper_template\dist\src\什么我要在玄幻修仙世界种田\index.html", "HTML", 0, 0, 1551, 0, 0, 0, 67, 43, 1661
"k:\AiChat\tavern_helper_template\package-lock.json", "JSON", 10014, 0, 0, 0, 0, 0, 0, 1, 10015
"k:\AiChat\tavern_helper_template\package.json", "JSON", 74, 0, 0, 0, 0, 0, 0, 1, 75
"k:\AiChat\tavern_helper_template\src\update-script.ts", "TypeScript", 0, 0, 0, 86, 0, 0, 33, 16, 135
"k:\AiChat\tavern_helper_template\src\什么我要在玄幻修-0楼版本\ui\modals\settings.ts", "TypeScript", 0, 0, 0, 112, 0, 0, 25, 20, 157
"k:\AiChat\tavern_helper_template\src\什么我要在玄幻修仙世界种田-0楼版本\Test.json", "JSON", 1, 0, 0, 0, 0, 0, 0, 0, 1
"k:\AiChat\tavern_helper_template\src\什么我要在玄幻修仙世界种田-0楼版本\Test.yaml", "YAML", 0, 0, 0, 0, 0, 35, 0, 1, 36
"k:\AiChat\tavern_helper_template\src\什么我要在玄幻修仙世界种田-0楼版本\core\actions.ts", "TypeScript", 0, 0, 0, 65, 0, 0, 30, 21, 116
"k:\AiChat\tavern_helper_template\src\什么我要在玄幻修仙世界种田-0楼版本\core\eventManager.ts", "TypeScript", 0, 0, 0, 125, 0, 0, 66, 26, 217
"k:\AiChat\tavern_helper_template\src\什么我要在玄幻修仙世界种田-0楼版本\core\events\achievementSystemHandler.ts", "TypeScript", 0, 0, 0, 72, 0, 0, 10, 19, 101
"k:\AiChat\tavern_helper_template\src\什么我要在玄幻修仙世界种田-0楼版本\core\events\adventureCooldownHandler.ts", "TypeScript", 0, 0, 0, 48, 0, 0, 10, 16, 74
"k:\AiChat\tavern_helper_template\src\什么我要在玄幻修仙世界种田-0楼版本\core\events\barterSystemHandler.ts", "TypeScript", 0, 0, 0, 45, 0, 0, 3, 11, 59
"k:\AiChat\tavern_helper_template\src\什么我要在玄幻修仙世界种田-0楼版本\core\events\characterUpdateHandler.ts", "TypeScript", 0, 0, 0, 22, 0, 0, 1, 8, 31
"k:\AiChat\tavern_helper_template\src\什么我要在玄幻修仙世界种田-0楼版本\core\events\itemChangeHandler.ts", "TypeScript", 0, 0, 0, 40, 0, 0, 2, 7, 49
"k:\AiChat\tavern_helper_template\src\什么我要在玄幻修仙世界种田-0楼版本\core\events\pokedexDiscoveryHandler.ts", "TypeScript", 0, 0, 0, 61, 0, 0, 7, 15, 83
"k:\AiChat\tavern_helper_template\src\什么我要在玄幻修仙世界种田-0楼版本\core\events\questHandler.ts", "TypeScript", 0, 0, 0, 103, 0, 0, 0, 26, 129
"k:\AiChat\tavern_helper_template\src\什么我要在玄幻修仙世界种田-0楼版本\core\events\shelterHandler.ts", "TypeScript", 0, 0, 0, 162, 0, 0, 31, 31, 224
"k:\AiChat\tavern_helper_template\src\什么我要在玄幻修仙世界种田-0楼版本\core\events\signInHandler.ts", "TypeScript", 0, 0, 0, 71, 0, 0, 8, 20, 99
"k:\AiChat\tavern_helper_template\src\什么我要在玄幻修仙世界种田-0楼版本\core\events\skillUpdateHandler.ts", "TypeScript", 0, 0, 0, 48, 0, 0, 6, 9, 63
"k:\AiChat\tavern_helper_template\src\什么我要在玄幻修仙世界种田-0楼版本\core\events\systemHandler.ts", "TypeScript", 0, 0, 0, 70, 0, 0, 2, 15, 87
"k:\AiChat\tavern_helper_template\src\什么我要在玄幻修仙世界种田-0楼版本\core\events\weatherChangeHandler.ts", "TypeScript", 0, 0, 0, 128, 0, 0, 46, 20, 194
"k:\AiChat\tavern_helper_template\src\什么我要在玄幻修仙世界种田-0楼版本\core\events\worldChangeHandler.ts", "TypeScript", 0, 0, 0, 90, 0, 0, 5, 18, 113
"k:\AiChat\tavern_helper_template\src\什么我要在玄幻修仙世界种田-0楼版本\core\generation.ts", "TypeScript", 0, 0, 0, 36, 0, 0, 19, 6, 61
"k:\AiChat\tavern_helper_template\src\什么我要在玄幻修仙世界种田-0楼版本\core\history.ts", "TypeScript", 0, 0, 0, 402, 0, 0, 109, 78, 589
"k:\AiChat\tavern_helper_template\src\什么我要在玄幻修仙世界种田-0楼版本\core\logger.ts", "TypeScript", 0, 0, 0, 93, 0, 0, 36, 21, 150
"k:\AiChat\tavern_helper_template\src\什么我要在玄幻修仙世界种田-0楼版本\core\module.ts", "TypeScript", 0, 0, 0, 4, 0, 0, 15, 2, 21
"k:\AiChat\tavern_helper_template\src\什么我要在玄幻修仙世界种田-0楼版本\core\parser.ts", "TypeScript", 0, 0, 0, 44, 0, 0, 17, 13, 74
"k:\AiChat\tavern_helper_template\src\什么我要在玄幻修仙世界种田-0楼版本\core\pokedex.ts", "TypeScript", 0, 0, 0, 199, 0, 0, 15, 37, 251
"k:\AiChat\tavern_helper_template\src\什么我要在玄幻修仙世界种田-0楼版本\core\promptManager.ts", "TypeScript", 0, 0, 0, 303, 0, 0, 33, 61, 397
"k:\AiChat\tavern_helper_template\src\什么我要在玄幻修仙世界种田-0楼版本\core\regexProcessor.ts", "TypeScript", 0, 0, 0, 24, 0, 0, 17, 6, 47
"k:\AiChat\tavern_helper_template\src\什么我要在玄幻修仙世界种田-0楼版本\core\renderer.ts", "TypeScript", 0, 0, 0, 785, 0, 0, 76, 138, 999
"k:\AiChat\tavern_helper_template\src\什么我要在玄幻修仙世界种田-0楼版本\core\state.ts", "TypeScript", 0, 0, 0, 42, 0, 0, 3, 13, 58
"k:\AiChat\tavern_helper_template\src\什么我要在玄幻修仙世界种田-0楼版本\core\summarizer.ts", "TypeScript", 0, 0, 0, 94, 0, 0, 26, 25, 145
"k:\AiChat\tavern_helper_template\src\什么我要在玄幻修仙世界种田-0楼版本\core\systems.ts", "TypeScript", 0, 0, 0, 561, 0, 0, 36, 56, 653
"k:\AiChat\tavern_helper_template\src\什么我要在玄幻修仙世界种田-0楼版本\core\time.ts", "TypeScript", 0, 0, 0, 113, 0, 0, 40, 28, 181
"k:\AiChat\tavern_helper_template\src\什么我要在玄幻修仙世界种田-0楼版本\core\ui.ts", "TypeScript", 0, 0, 0, 94, 0, 0, 24, 19, 137
"k:\AiChat\tavern_helper_template\src\什么我要在玄幻修仙世界种田-0楼版本\core\update-script.ts", "TypeScript", 0, 0, 0, 86, 0, 0, 33, 16, 135
"k:\AiChat\tavern_helper_template\src\什么我要在玄幻修仙世界种田-0楼版本\core\variables.ts", "TypeScript", 0, 0, 0, 348, 0, 0, 111, 67, 526
"k:\AiChat\tavern_helper_template\src\什么我要在玄幻修仙世界种田-0楼版本\core\version.ts", "TypeScript", 0, 0, 0, 109, 0, 0, 22, 18, 149
"k:\AiChat\tavern_helper_template\src\什么我要在玄幻修仙世界种田-0楼版本\data\genesisMessages.ts", "TypeScript", 0, 0, 0, 412, 0, 0, 8, 100, 520
"k:\AiChat\tavern_helper_template\src\什么我要在玄幻修仙世界种田-0楼版本\data\pokedex-data.json", "JSON", 338, 0, 0, 0, 0, 0, 0, 1, 339
"k:\AiChat\tavern_helper_template\src\什么我要在玄幻修仙世界种田-0楼版本\data\pokedex-data.ts", "TypeScript", 0, 0, 0, 463, 0, 0, 0, 2, 465
"k:\AiChat\tavern_helper_template\src\什么我要在玄幻修仙世界种田-0楼版本\data\prompts-data.ts", "TypeScript", 0, 0, 0, 778, 0, 0, 0, 75, 853
"k:\AiChat\tavern_helper_template\src\什么我要在玄幻修仙世界种田-0楼版本\data\shelter-data.ts", "TypeScript", 0, 0, 0, 64, 0, 0, 6, 4, 74
"k:\AiChat\tavern_helper_template\src\什么我要在玄幻修仙世界种田-0楼版本\data\time-data.ts", "TypeScript", 0, 0, 0, 31, 0, 0, 19, 7, 57
"k:\AiChat\tavern_helper_template\src\什么我要在玄幻修仙世界种田-0楼版本\docs\CHAT_FLOW_SPEC.md", "Markdown", 0, 0, 0, 0, 123, 0, 0, 57, 180
"k:\AiChat\tavern_helper_template\src\什么我要在玄幻修仙世界种田-0楼版本\docs\DEBUGGING_SPEC.md", "Markdown", 0, 0, 0, 0, 177, 0, 0, 49, 226
"k:\AiChat\tavern_helper_template\src\什么我要在玄幻修仙世界种田-0楼版本\docs\EVENT_MANAGER_SPEC.md", "Markdown", 0, 0, 0, 0, 80, 0, 0, 23, 103
"k:\AiChat\tavern_helper_template\src\什么我要在玄幻修仙世界种田-0楼版本\docs\FUTURE_PLANS.md", "Markdown", 0, 0, 0, 0, 24, 0, 0, 10, 34
"k:\AiChat\tavern_helper_template\src\什么我要在玄幻修仙世界种田-0楼版本\docs\HISTORY_SPEC.md", "Markdown", 0, 0, 0, 0, 85, 0, 0, 25, 110
"k:\AiChat\tavern_helper_template\src\什么我要在玄幻修仙世界种田-0楼版本\docs\ITEM_VALUE_SPEC.md", "Markdown", 0, 0, 0, 0, 169, 0, 0, 48, 217
"k:\AiChat\tavern_helper_template\src\什么我要在玄幻修仙世界种田-0楼版本\docs\MODULAR_INTEGRATION_SPEC.md", "Markdown", 0, 0, 0, 0, 110, 0, 0, 30, 140
"k:\AiChat\tavern_helper_template\src\什么我要在玄幻修仙世界种田-0楼版本\docs\MODULE_DESIGN_ADVENTURE.md", "Markdown", 0, 0, 0, 0, 114, 0, 0, 24, 138
"k:\AiChat\tavern_helper_template\src\什么我要在玄幻修仙世界种田-0楼版本\docs\MODULE_DESIGN_DIARY.md", "Markdown", 0, 0, 0, 0, 77, 0, 0, 20, 97
"k:\AiChat\tavern_helper_template\src\什么我要在玄幻修仙世界种田-0楼版本\docs\MODULE_DESIGN_QUEST.md", "Markdown", 0, 0, 0, 0, 338, 0, 0, 72, 410
"k:\AiChat\tavern_helper_template\src\什么我要在玄幻修仙世界种田-0楼版本\docs\MODULE_DESIGN_RUMOR.md", "Markdown", 0, 0, 0, 0, 51, 0, 0, 17, 68
"k:\AiChat\tavern_helper_template\src\什么我要在玄幻修仙世界种田-0楼版本\docs\MODULE_DESIGN_SHELTER.md", "Markdown", 0, 0, 0, 0, 359, 0, 0, 64, 423
