Date : 2025-09-01 23:58:13
Directory : k:\AiChat\tavern_helper_template
Total : 244 files,  58621 codes, 2438 comments, 5728 blanks, all 66787 lines

Languages
+--------------------+------------+------------+------------+------------+------------+
| language           | files      | code       | comment    | blank      | total      |
+--------------------+------------+------------+------------+------------+------------+
| JSON               |         19 |     14,510 |          5 |         70 |     14,585 |
| HTML               |         16 |     14,137 |        414 |        553 |     15,104 |
| TypeScript         |         92 |     13,304 |      1,772 |      2,141 |     17,217 |
| Markdown           |         59 |      5,263 |          2 |      1,576 |      6,841 |
| YAML               |          5 |      5,243 |          1 |        531 |      5,775 |
| vue                |         44 |      4,139 |        104 |        510 |      4,753 |
| SCSS               |          4 |      1,898 |        124 |        333 |      2,355 |
| JavaScript         |          3 |        112 |         16 |         13 |        141 |
| JSON with Comments |          2 |         15 |          0 |          1 |         16 |
+--------------------+------------+------------+------------+------------+------------+

Directories
+-----------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                                                  | files      | code       | comment    | blank      | total      |
+-----------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                                                     |        244 |     58,621 |      2,438 |      5,728 |     66,787 |
| . (Files)                                                                                                             |          7 |     12,465 |         25 |         45 |     12,535 |
| .augment                                                                                                              |          6 |          6 |          0 |          0 |          6 |
| .augment\rules                                                                                                        |          6 |          6 |          0 |          0 |          6 |
| .clinerules                                                                                                           |          6 |          6 |          0 |          0 |          6 |
| .cursor                                                                                                               |          1 |         14 |          0 |          1 |         15 |
| .github                                                                                                               |          3 |        106 |          1 |         20 |        127 |
| .github\workflows                                                                                                     |          3 |        106 |          1 |         20 |        127 |
| .roo                                                                                                                  |          7 |          7 |          0 |          0 |          7 |
| .roo (Files)                                                                                                          |          1 |          1 |          0 |          0 |          1 |
| .roo\rules                                                                                                            |          6 |          6 |          0 |          0 |          6 |
| dist                                                                                                                  |         12 |     12,304 |        283 |        319 |     12,906 |
| dist\src                                                                                                              |          4 |      7,171 |        107 |        172 |      7,450 |
| dist\src\什么我要在玄幻修仙世界种田                                                                                                |          1 |      1,605 |         67 |         43 |      1,715 |
| dist\src\什么我要在玄幻修仙世界种田-0楼版本                                                                                           |          1 |      4,608 |          1 |         57 |      4,666 |
| dist\src\什么我要在玄幻修仙世界种田-Vue版本                                                                                          |          1 |        297 |          0 |         16 |        313 |
| dist\src\什么我要在玄幻修仙世界种田-第一条消息                                                                                          |          1 |        661 |         39 |         56 |        756 |
| dist\什么我要在玄幻修仙世界种田                                                                                                    |          1 |      1,567 |         67 |         43 |      1,677 |
| dist\什么我要在玄幻修仙世界种田-0楼版本                                                                                               |          1 |      2,967 |         93 |         61 |      3,121 |
| dist\什么我要在玄幻修仙世界种田-Vue版本                                                                                              |          1 |        237 |          0 |         14 |        251 |
| dist\界面模板                                                                                                             |          1 |         45 |          0 |          6 |         51 |
| dist\界面示例                                                                                                             |          1 |        205 |          0 |         10 |        215 |
| dist\脚本模板                                                                                                             |          1 |          6 |          2 |          2 |         10 |
| dist\脚本示例                                                                                                             |          2 |        106 |         14 |         11 |        131 |
| dist\脚本示例 (Files)                                                                                                     |          1 |         71 |         10 |          7 |         88 |
| dist\脚本示例\可点击的选择框                                                                                                     |          1 |         35 |          4 |          4 |         43 |
| src                                                                                                                   |        196 |     33,688 |      2,129 |      5,337 |     41,154 |
| src (Files)                                                                                                           |          3 |        207 |         47 |         19 |        273 |
| src\什么我要在玄van修仙世界种田-0楼版本                                                                                              |          1 |          2 |          2 |          1 |          5 |
| src\什么我要在玄van修仙世界种田-0楼版本\ui                                                                                           |          1 |          2 |          2 |          1 |          5 |
| src\什么我要在玄幻修-0楼版本                                                                                                     |          1 |        112 |         25 |         20 |        157 |
| src\什么我要在玄幻修-0楼版本\ui                                                                                                  |          1 |        112 |         25 |         20 |        157 |
| src\什么我要在玄幻修-0楼版本\ui\modals                                                                                           |          1 |        112 |         25 |         20 |        157 |
| src\什么我要在玄幻修仙世界种田                                                                                                     |         17 |      4,597 |        296 |        659 |      5,552 |
| src\什么我要在玄幻修仙世界种田-0楼版本                                                                                                |        154 |     26,417 |      1,612 |      4,322 |     32,351 |
| src\什么我要在玄幻修仙世界种田-0楼版本 (Files)                                                                                        |         13 |      7,527 |        133 |        911 |      8,571 |
| src\什么我要在玄幻修仙世界种田-0楼版本\components                                                                                     |         40 |      3,927 |         94 |        472 |      4,493 |
| src\什么我要在玄幻修仙世界种田-0楼版本\components (Files)                                                                             |          2 |        255 |          7 |         35 |        297 |
| src\什么我要在玄幻修仙世界种田-0楼版本\components\action                                                                              |          1 |        140 |          4 |         12 |        156 |
| src\什么我要在玄幻修仙世界种田-0楼版本\components\debug                                                                               |          7 |        800 |          8 |        104 |        912 |
| src\什么我要在玄幻修仙世界种田-0楼版本\components\modals                                                                              |          8 |      1,073 |         31 |        132 |      1,236 |
| src\什么我要在玄幻修仙世界种田-0楼版本\components\pokedex                                                                             |          4 |        220 |          3 |         30 |        253 |
| src\什么我要在玄幻修仙世界种田-0楼版本\components\setup                                                                               |          1 |        303 |         14 |         22 |        339 |
