"filename", "language", "Markdown", "JSON with Comments", "TypeScript", "YAML", "JSON", "SCSS", "HTML", "JavaScript", "vue", "comment", "blank", "total"
"k:\AiChat\tavern_helper_template\.augment\rules\mcp.md", "Markdown", 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
"k:\AiChat\tavern_helper_template\.augment\rules\mvu变量框架.md", "Markdown", 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
"k:\AiChat\tavern_helper_template\.augment\rules\前端界面.md", "Markdown", 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
"k:\AiChat\tavern_helper_template\.augment\rules\脚本.md", "Markdown", 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
"k:\AiChat\tavern_helper_template\.augment\rules\酒馆变量.md", "Markdown", 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
"k:\AiChat\tavern_helper_template\.augment\rules\项目基本概念.md", "Markdown", 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
"k:\AiChat\tavern_helper_template\.clinerules\mcp.md", "Markdown", 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
"k:\AiChat\tavern_helper_template\.clinerules\mvu变量框架.md", "Markdown", 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
"k:\AiChat\tavern_helper_template\.clinerules\前端界面.md", "Markdown", 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
"k:\AiChat\tavern_helper_template\.clinerules\脚本.md", "Markdown", 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
"k:\AiChat\tavern_helper_template\.clinerules\酒馆变量.md", "Markdown", 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
"k:\AiChat\tavern_helper_template\.clinerules\项目基本概念.md", "Markdown", 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
"k:\AiChat\tavern_helper_template\.cursor\mcp.json", "JSON with Comments", 0, 14, 0, 0, 0, 0, 0, 0, 0, 0, 1, 15
"k:\AiChat\tavern_helper_template\.github\workflows\bump_deps.yaml", "YAML", 0, 0, 0, 35, 0, 0, 0, 0, 0, 0, 8, 43
"k:\AiChat\tavern_helper_template\.github\workflows\bundle.yaml", "YAML", 0, 0, 0, 44, 0, 0, 0, 0, 0, 1, 8, 53
"k:\AiChat\tavern_helper_template\.github\workflows\sync_template.yaml", "YAML", 0, 0, 0, 27, 0, 0, 0, 0, 0, 0, 4, 31
"k:\AiChat\tavern_helper_template\.roo\mcp.json", "JSON with Comments", 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
"k:\AiChat\tavern_helper_template\.roo\rules\mcp.md", "Markdown", 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
