"filename", "language", "vue", "Markdown", "TypeScript", "SCSS", "HTML", "JSON", "YAML", "comment", "blank", "total"
"k:\AiChat\tavern_helper_template\dist\src\什么我要在玄幻修仙世界种田-0楼版本\index.html", "HTML", 0, 0, 0, 0, 628, 0, 0, 0, 9, 637
"k:\AiChat\tavern_helper_template\dist\src\什么我要在玄幻修仙世界种田\index.html", "HTML", 0, 0, 0, 0, 53, 0, 0, 0, 0, 53
"k:\AiChat\tavern_helper_template\package-lock.json", "JSON", 0, 0, 0, 0, 0, 10, 0, 0, 0, 10
"k:\AiChat\tavern_helper_template\package.json", "JSON", 0, 0, 0, 0, 0, 1, 0, 0, 0, 1
"k:\AiChat\tavern_helper_template\src\什么我要在玄van修仙世界种田-0楼版本\ui\sidePanel.ts", "TypeScript", 0, 0, -2, 0, 0, 0, 0, -2, -1, -5
"k:\AiChat\tavern_helper_template\src\什么我要在玄幻修-0楼版本\ui\modals\settings.ts", "TypeScript", 0, 0, -112, 0, 0, 0, 0, -25, -20, -157
"k:\AiChat\tavern_helper_template\src\什么我要在玄幻修仙世界种田-0楼版本\0楼卡的编写——从架构到落地.md", "Markdown", 0, 400, 0, 0, 0, 0, 0, 0, 165, 565
"k:\AiChat\tavern_helper_template\src\什么我要在玄幻修仙世界种田-0楼版本\App.vue", "vue", 22, 0, 0, 0, 0, 0, 0, 1, 4, 27
"k:\AiChat\tavern_helper_template\src\什么我要在玄幻修仙世界种田-0楼版本\Test.yaml", "YAML", 0, 0, 0, 0, 0, 0, -5102, 0, -510, -5612
"k:\AiChat\tavern_helper_template\src\什么我要在玄幻修仙世界种田-0楼版本\components\MainMenu.vue", "vue", 3, 0, 0, 0, 0, 0, 0, 0, 6, 9
"k:\AiChat\tavern_helper_template\src\什么我要在玄幻修仙世界种田-0楼版本\components\TopBar.vue", "vue", 5, 0, 0, 0, 0, 0, 0, 0, 0, 5
"k:\AiChat\tavern_helper_template\src\什么我要在玄幻修仙世界种田-0楼版本\components\WorldviewSettings.vue", "vue", 286, 0, 0, 0, 0, 0, 0, 5, 23, 314
"k:\AiChat\tavern_helper_template\src\什么我要在玄幻修仙世界种田-0楼版本\components\debug\LogViewer.vue", "vue", 3, 0, 0, 0, 0, 0, 0, 0, 0, 3
